% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Sep 23 2019, 17:08"
% Table,transient_parametric_sweep_2 {tbl20} - Pressure {gev28} (sw1(t))
% K_ads (m^3/kg),t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1)
5.28E-8,11,-15,1.964985301710385E-6,4.836832279522511,0.5043410368197287,2.955960830730893E-7,1.9827269087054793E-11,3.8034531326082694,7.708799999999999E-5,0.02004423882865669,0.20153467831315908,49339.10767704788,263361.2539697203,4.3705419412008535,0.20786598762194314
5.28E-8,12,-15,1.9708162840992283E-6,4.851185304868366,0.5058376402297406,2.9640144319857335E-7,1.9881289058341117E-11,3.813815751288142,7.708799999999999E-5,0.020098849940314373,0.2021327210357998,49473.53351089842,264078.7893657907,4.370541945920617,0.20786598784641835
5.28E-8,13,-15,1.9766472664880705E-6,4.865538330214221,0.5073342436403233,2.9720680332405754E-7,1.9935309029627455E-11,3.824178369968014,7.708799999999999E-5,0.0201534610519721,0.2027307637586686,49607.95934474906,264796.32476186095,4.3705419506403915,0.2078659880708941
5.28E-8,14,-15,1.9821634398747054E-6,4.879116449843256,0.5087500469073948,2.979700220962487E-7,1.9986502346572667E-11,3.8339987532416266,7.708799999999999E-5,0.020205214577219334,0.20329651874419033,49735.351199170145,265476.31433008495,4.370541954482808,0.20786598825364208
5.28E-8,15,-15,1.9863519004612316E-6,4.889426390252878,0.5098250740698399,2.9855550893006203E-7,2.0025774196457345E-11,3.8415322486418924,7.708799999999999E-5,0.020244916178830483,0.20372609959830343,49833.07711501006,265997.95367365377,4.370541954625015,0.20786598826040553
5.28E-8,16,-15,1.9905403610477583E-6,4.899736330662501,0.5109001012322973,2.9914099576387546E-7,2.0065046046342042E-11,3.849065744042162,7.708799999999999E-5,0.02028461778044167,0.20415568045242138,49930.803030849915,266519.593017223,4.370541954767228,0.2078659882671693
5.28E-8,17,-15,1.9947288216342845E-6,4.910046271072124,0.5119751283947652,2.997264825976889E-7,2.0104317896226714E-11,3.85659923944243,7.708799999999999E-5,0.020324319382052838,0.20458526130654353,50028.52894668981,267041.23236079246,4.370541954909441,0.20786598827393302
5.28E-8,18,-15,1.998677013037902E-6,4.919764786325203,0.5129884870897211,3.0027944902990397E-7,2.0141408422371894E-11,3.863714292818546,7.708799999999999E-5,0.02036181578970588,0.2049901994410479,50120.82675408035,267533.8976609452,4.370541954996473,0.20786598827807234
5.28E-8,19,-15,2.002283985553992E-6,4.928643387647049,0.5139142671546201,3.007862315315759E-7,2.0175401136093916E-11,3.870235094696216,7.708799999999999E-5,0.020396180485584392,0.20536014115498155,50205.415819533766,267985.4154000934,4.370541955005205,0.20786598827848765
5.28E-8,20,-15,2.005731595064902E-6,4.937129715231812,0.5147991450163525,3.0127191343971254E-7,2.0207978515953736E-11,3.876484393928293,7.708799999999999E-5,0.020429114359606843,0.20571373834852982,50286.4829017265,268418.1335708741,4.370497641241139,0.2078638806853203
5.28E-8,21,-14.847366898148147,2.0025306875443575E-6,4.929250647227762,0.5139777003329921,3.016648301124493E-7,2.0234333616867626E-11,3.881540077123544,7.708799999999999E-5,0.020455757864304945,0.205385489053059,50352.066172731735,268768.2025791025,4.322474956420428,0.20557988869009153
5.28E-8,22,-13.536930084228516,1.9491278291663557E-6,4.797798941712888,0.500267996648828,3.0134022895068157E-7,2.0212560816249183E-11,3.877363413844591,7.708799999999999E-5,0.02043374680399965,0.1999070914608672,50297.88571301096,268478.99925775104,3.93204564436583,0.18701080146049134
5.28E-8,23,-10.433055736400462,1.8135502965205418E-6,4.464073398978044,0.46545302518708775,2.9922530501274015E-7,2.0070701135362116E-11,3.850150556375833,7.708799999999999E-5,0.020290334753082628,0.18599502886475605,49944.875419985314,266594.70832075266,3.0180645965214326,0.14354123275851163
5.28E-8,24,-5.692040478741681,1.6052289175626495E-6,3.9512881026294586,0.4119898296580811,2.9446145878080646E-7,1.9751163541534987E-11,3.7888538514745287,7.708799999999998E-5,0.019967300460397994,0.1646311359313655,49149.72306292199,262350.36074916914,1.6279872096965784,0.0774281939704921
5.28E-8,25,-3.552713678800501E-15,1.364133180877248E-6,3.357828375149479,0.3501240383053077,2.8685012590351155E-7,1.9240629222201816E-11,3.690918359317437,7.708799999999999E-5,0.019451179365656723,0.13990956570679783,47879.285483051,255569.0456853636,-0.03449716726612881,-0.0016407090563151038
