% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 7 2019, 11:31"
% Table,Table 26 {tbl26} - Pressure {gev21} (sw1(t))
% Pressurization cycles index,K_ads (m^3/kg),t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),u_ck (cm/h),c_gas (ug/m^3)
3,0,7,15,8.336319794858693E-8,0.205199400937493,0.021396333931587585,0,-105.01665975259075,5056.458796950309
3,0,8,15,7.987526028341988E-8,0.19661380517086935,0.020501105811110452,0,-105.01665975259075,4843.755725904073
3,0,9,15,7.706389359132069E-8,0.18969359607104377,0.019779529119854,0,-105.01665975259547,4672.367485475376
3,0,10,15,7.474686000983766E-8,0.1839901931957654,0.01918482995451382,0,-105.01665975259552,4531.189648245628
3,0,11,15,7.272025148082642E-8,0.17900167468494246,0.018664672452134046,0,-105.01665975259547,4407.763036226804
3,0,12,15,7.094461462845606E-8,0.17463092563314087,0.018208930350469693,0,-105.01665975259546,4299.672938411946
3,0,13,15,6.938489877714489E-8,0.170791668428551,0.01780860740204317,0,-105.01665975259547,4204.772946716794
3,0,14,15,6.80026654037883E-8,0.16738928623654933,0.017453837820795057,0,-105.01665975259544,4120.710055342657
3,0,15,15,6.676711313007246E-8,0.16434796113587585,0.01713671600098842,0,-105.01665975259547,4045.5981103668196
3,0,16,15,6.56583873183778E-8,0.16161882072425213,0.01685214597141472,0,-105.01665975259547,3978.2214475360524
3,0,17,15,6.465334693087816E-8,0.15914490309023688,0.016594188260160177,0,-105.01665975259547,3917.1632654099203
3,0,18,15,6.373194974212461E-8,0.15687687408210876,0.01635769874896899,0,-105.01665975259547,3861.1971813821183
3,0,19,15,6.288735772360643E-8,0.15479790181975142,0.016140922361919732,0,-105.01665975259544,3809.9053108813146
3,0,20,15,6.210825639477432E-8,0.15288013558860766,0.01594095507889255,0,-105.01665975259547,3762.5959946467506
3,0,21,15,6.138475691602676E-8,0.1510992339045198,0.015755258790511654,0,-105.01665975259546,3718.6654625257074
3,0,22,15,6.071019993923E-8,0.1494388047110252,0.015582124281680473,0,-105.01665975259546,3677.7078019569235
